ID,Name,Pantheon,First Volume,First Chapters,Notes / Relationships
39,Yuna,"5 (Twilight Convergence)",Vol 2,"96–100 (with Seli)","Cyber-Kitsune, friend"
40,Ling,"5 (Twilight Convergence)",Vol 2,"76–80 (with Vespera)","Dragon-Braid Skater, friend"
41,Roxy,"5 (Twilight Convergence)",Vol 2,"71–75 (with Ame)","Ducati Cyber-Racer, ally"
42,Tempest,"1 (Celestial Dragon Court)",Vol 4,"141–145 (with Sera)","Storm Dragon Priestess, ally"
43,Shen,"1 (Celestial Dragon Court)",Vol 4,"146–150 (with Mizu)","New Year Dragon Spirit, ally"
44,Wukong,"3 (Immortal Garden)",Vol 1,29–32,"Primordial Monkey King, mentor"
45,Chronos,"1 (Celestial Dragon Court)",Vol 4,"151–155 (with Aurora)","Chronomantic Guardian, ally"
46,Kakuo,"2 (Shadow Spirit Court)",Vol 3,151–155,"Shadow's Edge, assassin"
47,Brynhild,"2 (Shadow Spirit Court)",Vol 3,156–160,"Golden Valkyrie, ally"
48,Sorin,"1 (Celestial Dragon Court)",Vol 4,"156–160 (with Kira)","Phantom Virtuoso, ally"
49,Linguanshin,"2 (Shadow Spirit Court)",Vol 3,161–165,"Crimson Kitsune, ally"
50,Ryoken,"2 (Shadow Spirit Court)",Vol 3,166–170,"Unbroken Spear, ally"
51,"Corbin Black","2 (Shadow Spirit Court)",Vol 3,171–175,"Shadow Omen, anti-hero"
52,"Christian Storm","2 (Shadow Spirit Court)",Vol 3,176–180,"Rogue Appraiser, friend"
53,Ankhet,"2 (Shadow Spirit Court)",Vol 3,181–185,"Scarlet Bind, ancient curse"
54,Kaelia,"2 (Shadow Spirit Court)",Vol 3,186–190,"Fractured Sky, tragic"
55,"Aurelius Drakon","2 (Shadow Spirit Court)",Vol 3,191–195,"Golden Martyr, ally"
56,"Nimue Harvestglen","2 (Shadow Spirit Court)",Vol 3,196–200,"Autumn Witch, friend"
57,Feineir,"2 (Shadow Spirit Court)",Vol 4,"1–5 (Vol 4)","Crimson Eclipse, ally"
58,"Sikenzo Waratta","2 (Shadow Spirit Court)",Vol 4,6–10,"Neon Ghost, ally"
59,"Zephyra Stormveil","1 (Celestial Dragon Court)",Vol 4,11–15,"Fallen Tempest, ally"
60,Bloomf,"2 (Shadow Spirit Court)",Vol 4,16–20,"Eternal Blossom, healer"
61,Malakor,"2 (Shadow Spirit Court)",Vol 4,21–25,"Infernal Prince, antagonist"
62,Korgrath,"2 (Shadow Spirit Court)",Vol 4,26–30,"Ash-Blooded, anti-hero"
63,Seraphine,"2 (Shadow Spirit Court)",Vol 4,31–35,"Godslayer, neutral"
64,Aelira,"2 (Shadow Spirit Court)",Vol 4,36–40,"Silver Star, ally"
65,Leonar,"2 (Shadow Spirit Court)",Vol 4,41–45,"Golden Bastion, ally"
66,Theron,"2 (Shadow Spirit Court)",Vol 4,46–50,"Silent Blade, ally"
67,"Kurosagi Yaman","2 (Shadow Spirit Court)",Vol 4,51–55,"Twilight Fox, ally"
68,Vaelen,"2 (Shadow Spirit Court)",Vol 4,56–60,"Shrouded Martyr, ally"
69,Malachar,"2 (Shadow Spirit Court)",Vol 5,1–5,"Obsidian Scourge, major villain"
70,Meiling,"2 (Shadow Spirit Court)",Vol 5,6–10,"Jade Emperor, ally"
71,Serkali,"2 (Shadow Spirit Court)",Vol 5,11–15,"Venom's Last Daughter, ally"
72,Gajendra,"2 (Shadow Spirit Court)",Vol 5,16–20,"Amber-Belted, ally"
73,Zerilyn,"1 (Celestial Dragon Court)",Vol 5,21–25,"Exiled Star, ally"
74,"Caelan Emberwick","2 (Shadow Spirit Court)",Vol 5,26–30,"Hearthfire Prodigy, ally"
75,Zenthos,"4 (Corrupted Machine Gods)",Vol 5,31–35,"Cosmic Warden, ally against Machine Gods"
76,"Lian Chen","3 (Immortal Garden)",Vol 1,21–24,"Floating Blade, friend"
77,"Shen Wu","2 (Shadow Spirit Court)",Vol 3,"141–145 (with Kage)","Crimson Blade Demon, rival"
78,"Wei Chen","1 (Celestial Dragon Court)",Vol 4,"161–165 (with Solis)","Formless Immortal, brother of Lian Chen and Shen Wu"
79,"Lunaea Vespera","3 (Immortal Garden)","Vol 1 (vision) / Vol 3 later","37–40 / later","Twilight Archer, love interest"
80,"General Jadebreaker","4 (Corrupted Machine Gods)",Vol 5,36–40,"Obsidian Rebel, ally"
81,"Kageoni no Akuma","4 (Corrupted Machine Gods)",Vol 5,41–45,"Crimson Shadow Oni, anti-hero"
82,"Simhak Ashford","2 (Shadow Spirit Court)",Vol 5,46–50,"Crimson Reaper, ally"
83,"Theingzin Dokaran","1 (Celestial Dragon Court)",Vol 5,51–55,"Arcane Detective, ally"
84,"Glimmermek Sparkfuse","5 (Twilight Convergence)",Vol 2,"96–100 (with Seli)","Cog King, ally"
85,Chroncik,"1 (Celestial Dragon Court)",Vol 5,56–60,"World-Shaper, ancient ally"
86,"Ignivia Duskfeather","1 (Celestial Dragon Court)",Vol 5,61–65,"Abyssal Phoenix, ally"
87,"Pyralis Embervein","4 (Corrupted Machine Gods)",Vol 5,66–70,"Pale Flame Outcast, ally"
88,"Zar'rak the Shadowpaw","4 (Corrupted Machine Gods)",Vol 5,71–75,"Last Shadow Leopard, ally"
89,"Aurek Stormwind","1 (Celestial Dragon Court)",Vol 5,76–80,"Skyward Knight, ally"
90,"Shenlong Xu","3 (Immortal Garden)",Vol 1,13–16,"Enlightened Fist, mentor"
91,"Valogueneir Kimpatsu","4 (Corrupted Machine Gods)",Vol 5,81–85,"First Vampire, ally"
92,"Jasper Cole","5 (Twilight Convergence)",Vol 2,"86–90 (with Crystal)","Hollyhawk, friend"
93,"Iridiana Starweaver","3 (Immortal Garden)",Vol 1,25–28,"Primal Healer, healer"
94,"Jianlu Kian","2 (Shadow Spirit Court)",Vol 5,86–90,"Four-Fisted Elemental, ally"
95,"Auriel Thórvald","1 (Celestial Dragon Court)",Vol 5,91–95,"Pearl Sovereign, god-king"
96,Sengorkan,"3 (Immortal Garden)",Vol 1,9–12,"Ascendant Fist, mentor"
97,"Kailash Vajran","3 (Immortal Garden)",Vol 1,33–36,"Onyx God of Annihilation, mentor"
98,"Fenglongxi Hua","1 (Celestial Dragon Court)",Vol 4,"176–180 (with Stella)","Gilded Seraphim Dragon, ally"
99,"Xixuanlong Fixuan","4 (Corrupted Machine Gods)",Vol 5,96–100,"Shadowscale Corruptor, major villain"
100,"Vermilion Zephyron","1 (Celestial Dragon Court)",Vol 4,"181–185 (with Kaelen)","Crimson Armada, ally"
150,"Vorlag the Emberhoof","2 (Shadow Spirit Court)",Vol 5,101–105,"Burning Labyrinth, ally"
